trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
217,False,"{'a': 0.99, 'e': 0.6693020146637229}",20,0,-100.44998433517092,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 3}",0
218,False,"{'a': 0.99, 'e': 0.6679163096621732}",35,0,-65.46391417444835,"{0: 25, 1: 3, 2: 6, 3: 1, 4: 0}",0
219,False,"{'a': 0.99, 'e': 0.6665306046606235}",25,0,-99.76908640006529,"{0: 16, 1: 2, 2: 5, 3: 1, 4: 1}",0
220,False,"{'a': 0.99, 'e': 0.6651448996590739}",20,0,-29.46941346599477,"{0: 13, 1: 4, 2: 3, 3: 0, 4: 0}",0
221,False,"{'a': 0.99, 'e': 0.6637591946575242}",25,0,-91.78440687214419,"{0: 18, 1: 1, 2: 3, 3: 2, 4: 1}",0
222,False,"{'a': 0.99, 'e': 0.6623734896559745}",20,0,-28.18104408342434,"{0: 15, 1: 0, 2: 5, 3: 0, 4: 0}",0
223,False,"{'a': 0.99, 'e': 0.6609877846544249}",25,0,-59.87436018656157,"{0: 19, 1: 2, 2: 3, 3: 0, 4: 1}",0
224,False,"{'a': 0.99, 'e': 0.6596020796528752}",20,0,-42.53343873806872,"{0: 15, 1: 0, 2: 4, 3: 1, 4: 0}",0
225,False,"{'a': 0.99, 'e': 0.6582163746513255}",20,0,-11.603938904219525,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
226,False,"{'a': 0.99, 'e': 0.6568306696497759}",25,0,-56.02266049395536,"{0: 17, 1: 2, 2: 5, 3: 1, 4: 0}",0
227,False,"{'a': 0.99, 'e': 0.6554449646482262}",25,0,-57.666388826043246,"{0: 18, 1: 3, 2: 2, 3: 2, 4: 0}",0
228,False,"{'a': 0.99, 'e': 0.6540592596466765}",25,0,-123.78539522021359,"{0: 17, 1: 0, 2: 5, 3: 1, 4: 2}",0
229,False,"{'a': 0.99, 'e': 0.6526735546451269}",30,12,-13.736151196660778,"{0: 15, 1: 1, 2: 1, 3: 1, 4: 0}",1
230,False,"{'a': 0.99, 'e': 0.6512878496435772}",20,3,-87.49131793181648,"{0: 10, 1: 2, 2: 3, 3: 1, 4: 1}",1
231,False,"{'a': 0.99, 'e': 0.6499021446420276}",25,11,-71.82863156073965,"{0: 9, 1: 1, 2: 2, 3: 1, 4: 1}",1
232,False,"{'a': 0.99, 'e': 0.6485164396404779}",25,0,-65.1256919629813,"{0: 19, 1: 1, 2: 3, 3: 1, 4: 1}",0
233,False,"{'a': 0.99, 'e': 0.6471307346389282}",20,0,-135.08952134384705,"{0: 14, 1: 1, 2: 1, 3: 1, 4: 3}",0
234,False,"{'a': 0.99, 'e': 0.6457450296373786}",20,0,-46.90926903868871,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
235,False,"{'a': 0.99, 'e': 0.6443593246358289}",25,0,-82.63331861620881,"{0: 17, 1: 1, 2: 4, 3: 3, 4: 0}",0
236,False,"{'a': 0.99, 'e': 0.6429736196342792}",20,0,-94.43434205549082,"{0: 13, 1: 1, 2: 3, 3: 2, 4: 1}",1
237,False,"{'a': 0.99, 'e': 0.6415879146327296}",20,0,4.613146851671104,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
238,False,"{'a': 0.99, 'e': 0.6402022096311799}",25,13,-4.766101033154983,"{0: 11, 1: 0, 2: 0, 3: 1, 4: 0}",1
239,False,"{'a': 0.99, 'e': 0.6388165046296302}",25,0,-53.476511288820646,"{0: 18, 1: 0, 2: 6, 3: 1, 4: 0}",0
240,False,"{'a': 0.99, 'e': 0.6374307996280806}",20,0,-63.50588562850629,"{0: 14, 1: 4, 2: 0, 3: 1, 4: 1}",0
241,False,"{'a': 0.99, 'e': 0.6360450946265309}",25,0,-60.95303155393158,"{0: 17, 1: 4, 2: 2, 3: 2, 4: 0}",0
242,False,"{'a': 0.99, 'e': 0.6346593896249813}",20,8,-9.915840592530955,"{0: 9, 1: 1, 2: 2, 3: 0, 4: 0}",1
243,False,"{'a': 0.99, 'e': 0.6332736846234316}",25,0,-45.26071534322012,"{0: 20, 1: 2, 2: 2, 3: 0, 4: 1}",0
244,False,"{'a': 0.99, 'e': 0.6318879796218819}",30,0,-107.89311641047126,"{0: 21, 1: 2, 2: 4, 3: 2, 4: 1}",0
245,False,"{'a': 0.99, 'e': 0.6305022746203323}",25,5,-36.58863518966459,"{0: 15, 1: 0, 2: 4, 3: 1, 4: 0}",1
246,False,"{'a': 0.99, 'e': 0.6291165696187826}",20,0,-130.31472425440487,"{0: 13, 1: 1, 2: 2, 3: 2, 4: 2}",0
247,False,"{'a': 0.99, 'e': 0.6277308646172329}",25,0,-29.325538207679106,"{0: 19, 1: 3, 2: 3, 3: 0, 4: 0}",0
248,False,"{'a': 0.99, 'e': 0.6263451596156833}",20,13,5.781006054669463,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
249,False,"{'a': 0.99, 'e': 0.6249594546141336}",25,0,-48.27763416823968,"{0: 18, 1: 1, 2: 5, 3: 1, 4: 0}",0
